Community Name,Assault (Non-domestic),Break & Enter - Commercial,Break & Enter - Dwelling,Break & Enter - Other Premises,Commercial Robbery,Street Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic)
CRESTMONT,2.0,5.0,18.0,2.0,0.0,1.0,46.0,14.0,6.0
CURRIE BARRACKS,1.0,29.0,8.0,19.0,0.0,1.0,33.0,6.0,8.0
DALHOUSIE,105.0,74.0,57.0,32.0,10.0,26.0,395.0,131.0,73.0
DEER RIDGE,49.0,46.0,22.0,5.0,13.0,6.0,135.0,64.0,33.0
DEER RUN,14.0,11.0,24.0,10.0,2.0,0.0,144.0,53.0,22.0
DEERFOOT BUSINESS CENTRE,43.0,28.0,0.0,0.0,7.0,4.0,121.0,62.0,11.0
DIAMOND COVE,2.0,1.0,13.0,0.0,0.0,0.0,23.0,8.0,2.0
DISCOVERY RIDGE,9.0,17.0,50.0,2.0,0.0,5.0,108.0,29.0,17.0
DOUGLASDALE/GLEN,39.0,83.0,146.0,30.0,9.0,2.0,410.0,150.0,44.0
DOVER,253.0,94.0,107.0,167.0,24.0,58.0,714.0,464.0,108.0
DOWNTOWN COMMERCIAL CORE,1866.0,1169.0,76.0,23.0,52.0,257.0,2073.0,343.0,500.0
DOWNTOWN EAST VILLAGE,610.0,195.0,19.0,6.0,5.0,71.0,228.0,68.0,116.0
DOWNTOWN WEST END,97.0,112.0,12.0,2.0,7.0,19.0,215.0,54.0,37.0
EAGLE RIDGE,111.0,6.0,7.0,2.0,0.0,2.0,31.0,6.0,39.0
EAST FAIRVIEW INDUSTRIAL,70.0,80.0,2.0,3.0,10.0,2.0,175.0,65.0,22.0
EAST SHEPARD INDUSTRIAL,34.0,321.0,2.0,11.0,4.0,3.0,312.0,177.0,39.0
EASTFIELD,7.0,81.0,0.0,0.0,0.0,0.0,77.0,48.0,2.0
EAU CLAIRE,71.0,131.0,7.0,5.0,0.0,7.0,247.0,30.0,32.0
EDGEMONT,35.0,45.0,210.0,17.0,21.0,13.0,353.0,100.0,52.0
ELBOW PARK,11.0,34.0,68.0,83.0,0.0,0.0,214.0,48.0,13.0
ELBOYA,20.0,32.0,20.0,66.0,1.0,1.0,172.0,47.0,15.0
ERIN WOODS,74.0,81.0,46.0,69.0,10.0,12.0,420.0,219.0,46.0
ERLTON,21.0,60.0,19.0,15.0,0.0,7.0,158.0,50.0,11.0
EVANSTON,36.0,45.0,102.0,35.0,6.0,7.0,291.0,119.0,47.0
EVERGREEN,42.0,54.0,137.0,35.0,1.0,6.0,334.0,104.0,61.0
FAIRVIEW,41.0,49.0,34.0,80.0,4.0,2.0,251.0,129.0,25.0
FAIRVIEW INDUSTRIAL,18.0,185.0,1.0,5.0,6.0,1.0,240.0,94.0,15.0
FALCONRIDGE,260.0,90.0,103.0,176.0,34.0,62.0,647.0,396.0,129.0
FISH CREEK PARK,16.0,17.0,0.0,1.0,0.0,3.0,79.0,1.0,4.0
FOOTHILLS,86.0,512.0,3.0,10.0,1.0,6.0,428.0,356.0,33.0
FOREST HEIGHTS,152.0,61.0,81.0,82.0,31.0,45.0,414.0,258.0,51.0
FOREST LAWN,642.0,190.0,167.0,182.0,31.0,118.0,705.0,581.0,202.0
FOREST LAWN INDUSTRIAL,81.0,150.0,1.0,2.0,14.0,13.0,94.0,103.0,32.0
FRANKLIN,182.0,108.0,1.0,1.0,17.0,48.0,365.0,189.0,59.0
GARRISON GREEN,2.0,12.0,3.0,22.0,0.0,0.0,36.0,7.0,6.0
GARRISON WOODS,3.0,6.0,2.0,44.0,1.0,0.0,34.0,11.0,2.0
GLAMORGAN,66.0,77.0,44.0,78.0,8.0,11.0,329.0,146.0,35.0
GLENBROOK,83.0,100.0,33.0,72.0,7.0,12.0,344.0,148.0,62.0
GLENDALE,42.0,44.0,48.0,72.0,8.0,6.0,183.0,50.0,23.0
GLENDEER BUSINESS PARK,1.0,7.0,0.0,0.0,0.0,0.0,12.0,23.0,3.0
GLENMORE PARK,5.0,18.0,0.0,2.0,0.0,1.0,152.0,5.0,2.0
GOLDEN TRIANGLE,2.0,86.0,0.0,2.0,0.0,0.0,40.0,44.0,2.0
GREAT PLAINS,16.0,91.0,2.0,2.0,2.0,2.0,89.0,53.0,13.0
GREENVIEW,30.0,82.0,19.0,19.0,2.0,4.0,147.0,75.0,21.0
GREENVIEW INDUSTRIAL PARK,33.0,305.0,3.0,6.0,2.0,2.0,248.0,195.0,20.0
GREENWOOD/GREENBRIAR,9.0,9.0,3.0,1.0,0.0,0.0,18.0,14.0,11.0
HAMPTONS,8.0,6.0,126.0,2.0,0.0,1.0,93.0,34.0,24.0
HARVEST HILLS,33.0,32.0,120.0,35.0,6.0,7.0,260.0,117.0,31.0
HASKAYNE,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAWKWOOD,25.0,24.0,91.0,10.0,2.0,3.0,233.0,75.0,32.0
HAYSBORO,120.0,229.0,50.0,109.0,10.0,19.0,506.0,184.0,69.0
HIDDEN VALLEY,35.0,9.0,103.0,30.0,7.0,8.0,269.0,115.0,51.0
HIGHFIELD,23.0,335.0,3.0,6.0,5.0,1.0,232.0,106.0,8.0
HIGHLAND PARK,110.0,95.0,85.0,89.0,4.0,8.0,353.0,162.0,63.0
HIGHWOOD,49.0,59.0,37.0,51.0,8.0,6.0,154.0,89.0,20.0
HILLHURST,133.0,398.0,59.0,251.0,10.0,16.0,716.0,182.0,82.0
HOMESTEAD,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
HORIZON,118.0,160.0,4.0,8.0,17.0,10.0,427.0,218.0,52.0
HOTCHKISS,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOUNSFIELD HEIGHTS/BRIAR HILL,143.0,74.0,57.0,100.0,12.0,18.0,350.0,144.0,39.0
HUNTINGTON HILLS,230.0,106.0,91.0,175.0,25.0,41.0,671.0,390.0,124.0
INGLEWOOD,93.0,232.0,49.0,103.0,3.0,10.0,322.0,128.0,51.0
KELVIN GROVE,25.0,56.0,26.0,20.0,1.0,3.0,151.0,25.0,12.0
KEYSTONE HILLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KEYSTONE HILLS & STONEY 4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KILLARNEY/GLENGARRY,99.0,152.0,105.0,290.0,20.0,18.0,518.0,195.0,61.0
KINCORA,11.0,55.0,57.0,8.0,0.0,1.0,152.0,53.0,20.0
KINGSLAND,143.0,166.0,64.0,74.0,18.0,12.0,466.0,206.0,73.0
LAKE BONAVISTA,34.0,192.0,86.0,144.0,6.0,5.0,560.0,146.0,30.0
LAKEVIEW,11.0,37.0,31.0,73.0,7.0,0.0,220.0,68.0,28.0
LEGACY,23.0,143.0,19.0,12.0,1.0,2.0,107.0,55.0,27.0
LINCOLN PARK,33.0,67.0,14.0,14.0,8.0,5.0,127.0,40.0,31.0
LIVINGSTON,2.0,58.0,14.0,4.0,0.0,0.0,39.0,14.0,6.0
LOWER MOUNT ROYAL,98.0,229.0,45.0,19.0,7.0,14.0,437.0,130.0,60.0
MACEWAN GLEN,27.0,6.0,36.0,18.0,2.0,0.0,109.0,44.0,23.0
MAHOGANY,31.0,102.0,77.0,28.0,1.0,6.0,198.0,82.0,48.0
MANCHESTER,75.0,174.0,4.0,9.0,5.0,7.0,195.0,99.0,54.0
MANCHESTER INDUSTRIAL,264.0,590.0,7.0,16.0,25.0,49.0,708.0,389.0,83.0
MAPLE RIDGE,15.0,24.0,10.0,27.0,0.0,0.0,113.0,29.0,10.0
